,Gender.Weights,Age Group.Weights,ADM1.Weights,Total Weights,Country,Gender,Age Group,Admin1,SEC,Age,BirthYear,Awareness,Urban/Rural,BiggestChallenge,LevelConcern,Concerns,RiskAwareness,Tested,VirusPrevention,PreventativeMeasures: Avoiding public places,PreventativeMeasures: Avoiding public transport,PreventativeMeasures: Increasing hygiene,PreventativeMeasures: Other,PreventativeMeasures: Working from home,HandWashing,SocialDistancing,HealthBehavior,EconomicImpact,MarketOperability,FoodLocations,FoodLocations2,FoodShopping,FoodAmount,Foodworry,BrandPurchase,NonEssentialItems,GovernmentTrust,CommercialTrust: Banks,CommercialTrust: Brands,CommercialTrust: Other,CommercialTrust: Retailers,CommercialTrust: Telecommuncations,InitiativeTaken: Limited store traffic,InitiativeTaken: None,InitiativeTaken: Sectioned intercepts,InitiativeTaken: Staff in protective gear,Groups: Brands,Groups: Governments,Groups: NGOs,Groups: Private Sector,Groups: Retailers,InformationSources: Friends/family,InformationSources: Government messages,InformationSources: Newspapers,InformationSources: Other,InformationSources: Radio,InformationSources: Social Media,InformationSources: TV,SocialMedia,MediaConsumption,StayPositive
0,0.9216589861751152,1.0909333333333333,1.034664820730937,1.0403228956338588,Kenya,Male,15-25,Machakos,B,20 - 29,1995 and above,Yes,Rural area,Corona,5,Contracting the disease,Yes,No,Yes,False,False,False,False,True,More than 5 times,No,Go to hospital,5,All are open,Yes,Online,Less often than usual,Smaller packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,,Consuming more,Nothing
1,0.9216589861751152,0.8944537815126051,1.0292978256151206,0.8485339469346974,Kenya,Male,26-35,Uasin Gishu,C1,20 - 29,1984 - 1994,Yes,Urban area,High prices of goods,5,Local infections,No,No,Yes,True,False,True,False,False,More than 5 times,No,Stay home,3,Most are open,No,,Same as usual [no change],Bigger packsize than usual,No,,Decreased,2,True,False,False,False,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,True,True,Media outlets,Consuming more,Hope
2,0.9702970297029703,1.0344827586206897,0.8,0.803004438374872,Nigeria,Male,15-25,Benue,A,20 - 29,1995 and above,Yes,Urban area,Light,5,Contracting the disease,Yes,No,Yes,False,False,False,False,True,More than 5 times,Yes,Go to hospital,4,Most are closed,No,,Less often than usual,Bigger packsize than usual,No,,Decreased,4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Health organizations,Consuming more,Will go back to school soon
3,0.9216589861751152,0.8944537815126051,0.9948019555610026,0.8200961944771182,Kenya,Male,26-35,Kisii,C1,30 - 39,1984 - 1994,Yes,Rural area,The outbreak of covid-19,5,Contracting the disease,Yes,No,Yes,False,False,True,False,False,More than 5 times,No,Go to hospital,5,Most are closed,No,,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,4,False,False,True,False,False,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,Health organizations,Consuming more,the covid 19 outbreak has not been confirmed in my county
4,0.9216589861751152,1.0909333333333333,0.9750882003741145,0.980420479933764,Kenya,Male,15-25,Nandi,B,20 - 29,NaN,Yes,Rural area,no job and income due to corona pandemic,5,Economic impact,No,No,Yes,False,False,True,False,False,3-5 times,Yes,Go to hospital,5,Most are closed,Yes,Wholesalers,Less often than usual,Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,Media outlets,Consuming less,talking to peaple and watching movies  playing games also
5,1.0928961748633879,0.8944537815126051,0.9634086130371545,0.9417753847791223,Kenya,Female,26-35,Busia,A,20 - 29,1984 - 1994,Yes,Urban area,My biggest challenge today is finding employment,5,Economic impact,Yes,Yes - tested negative,Yes,True,True,True,False,False,More than 5 times,Yes,Not sure,5,All are open,No,,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,2,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,True,,Consuming more,"Family, friends"
6,0.9216589861751152,1.0909333333333333,0.9948019555610026,1.0002420399877263,Kenya,Male,15-25,Kisii,C1,20 - 29,1995 and above,Yes,Urban area,Food,4,Economic impact,Yes,Yes - tested negative,Yes,False,False,False,False,True,More than 5 times,Yes,Go to hospital,5,Most are closed,Yes,Supermarkets,More often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,5,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,Health organizations,No change,stay indoors
7,0.9216589861751152,0.8944537815126051,1.005491732728186,0.8289086475745508,Kenya,Male,26-35,Marsabit,E,30 - 39,1984 - 1994,Yes,Rural area,"No electricity, murram road & no television",1,Global infections,Yes,No,Yes,False,False,True,False,False,More than 5 times,Yes,Go to hospital,1,Some are open,Yes,Wholesalers,Less often than usual,Smaller packsize than usual,No,,Decreased,5,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,,Consuming less,Sesitatisation by the entire community
8,0.9216589861751152,0.9917557251908395,0.9984890739849734,0.9126794983088453,Kenya,Male,36+,Homa Bay,C1,30 - 39,1974 - 1984,Yes,Rural area,Covid 19 pandemic,5,Economic impact,Yes,Not sure,Yes,False,False,True,False,False,3-5 times,No,Go to hospital,4,Some are open,Yes,Supermarkets,Less often than usual,Bigger packsize than usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,,No change,believe in God
9,0.9216589861751152,1.0909333333333333,1.003788205971096,1.0092774317979119,Kenya,Male,15-25,Kisumu,C1,20 - 29,1995 and above,Yes,Urban area,None,5,Other,No,No,Yes,True,False,False,False,False,More than 5 times,Yes,Go to hospital,1,Most are closed,Yes,Other,Same as usual [no change],Same as usual,Yes,Switch to an alterative brand because it is cheaper,Decreased,3,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,,No change,Self Quarantine
